V1,V2,V3,V4,V5,species,Sample1,Sample2
Met5660_refinement_out_metawrap_50_10_bins_bin.9.fa,Met8611_megahit_refinement_out_metawrap_50_10_bins_bin.3.fa,99.9733,688,702,Corynebacterium amycolatum,Met5660,Met8611
Met5660_refinement_out_metawrap_50_10_bins_bin.9.fa,Met8721_Megahit_refinement_outMetawrap_50_10_bins_bin.7.fa,99.9622,673,702,Corynebacterium amycolatum,Met5660,Met8721
Met5660_refinement_out_metawrap_50_10_bins_bin.9.fa,Met8673_megahit_refinement_out_metawrap_50_10_bins_bin.7.fa,99.9147,636,702,Corynebacterium amycolatum,Met5660,Met8673
Met5660_refinement_out_metawrap_50_10_bins_bin.9.fa,Met5782_refinement_out_metawrap_50_10_bins_bin.3.fa,99.9118,675,702,Corynebacterium amycolatum,Met5660,Met5782
Met5660_refinement_out_metawrap_50_10_bins_bin.9.fa,Met8580_spades_refinement_out_metawrap_50_10_bins_bin.4.fa,99.7969,627,702,Corynebacterium amycolatum,Met5660,Met8580
Met5660_refinement_out_metawrap_50_10_bins_bin.9.fa,Met5704_refinement_out_metawrap_50_10_bins_bin.16.fa,99.7651,614,702,Corynebacterium amycolatum,Met5660,Met5704
Met5660_refinement_out_metawrap_50_10_bins_bin.9.fa,Met5763_refinement_out_metawrap_50_10_bins_bin.5.fa,99.1588,673,702,Corynebacterium amycolatum,Met5660,Met5763
Met5660_refinement_out_metawrap_50_10_bins_bin.9.fa,Met8688_spades_refinement_out_metawrap_50_10_bins_bin.10.fa,97.0071,637,702,Corynebacterium amycolatum,Met5660,Met8688
Met5660_refinement_out_metawrap_50_10_bins_bin.9.fa,Met5714_refinement_out_metawrap_50_10_bins_bin.9.fa,97.0012,627,702,Corynebacterium amycolatum,Met5660,Met5714
Met5704_refinement_out_metawrap_50_10_bins_bin.16.fa,Met8611_megahit_refinement_out_metawrap_50_10_bins_bin.3.fa,99.822,686,716,Corynebacterium amycolatum,Met5704,Met8611
Met5704_refinement_out_metawrap_50_10_bins_bin.16.fa,Met5782_refinement_out_metawrap_50_10_bins_bin.3.fa,99.8207,687,716,Corynebacterium amycolatum,Met5704,Met5782
Met5704_refinement_out_metawrap_50_10_bins_bin.16.fa,Met8721_Megahit_refinement_outMetawrap_50_10_bins_bin.7.fa,99.7704,664,716,Corynebacterium amycolatum,Met5704,Met8721
